obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""102320000""","=""""","=""""",,"=""12.0874949611""","=""12.0875070783""","=""3s""","=""2S""","=""1/2""","=""3d""","=""2D""","=""3/2""",E2,
"=""177080000""","=""""","=""""",,"=""12.74853299663""","=""12.74853999753""","=""4s""","=""2S""","=""1/2""","=""4d""","=""2D""","=""5/2""",E2,
"=""218650000""","=""""","=""""",,"=""12.74853244632""","=""12.7485381084""","=""4p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",,
"=""218690000""","=""""","=""""",,"=""12.74853244632""","=""12.74853811674""","=""4p""","=""2P*""","=""1/2""","=""4p""","=""2P*""","=""3/2""",UT,
"=""242200000""","=""""","=""""",,"=""12.74853299663""","=""12.74853811674""","=""4s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
"=""242700000""","=""""","=""""",,"=""12.74853299663""","=""12.7485381084""","=""4s""","=""2S""","=""1/2""","=""4d""","=""2D""","=""3/2""",E2,
"=""276800000""","=""""","=""""",,"=""12.0875070783""","=""12.0875115582""","=""3d""","=""2D""","=""3/2""","=""3d""","=""2D""","=""5/2""",UT,
"=""278100000""","=""""","=""""",,"=""12.0875071004""","=""12.0875115582""","=""3p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",,
"=""283398700""","=""""","=""""",,"=""10.19880615024""","=""10.19881052514816""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",,
"=""426000000""","=""""","=""""",,"=""13.054498182""","=""13.054501074""","=""5p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,
"=""427043000""","=""""","=""""",,"=""13.054498182""","=""13.054501086""","=""5p""","=""2P*""","=""1/2""","=""5p""","=""2P*""","=""3/2""",UT,
